size,build_ms,trace_ms,impact_ms,orphans_ms,search_ms,nodes,edges
100s_5g,14.6,0.0,0.7,0.0,0.4,800,250
500s_10g,111.9,0.1,0.0,0.1,1.2,7000,2000
1000s_10g,172.4,0.2,0.1,0.1,3.7,14000,4000
2000s_10g,357.8,0.3,0.1,0.2,8.6,28000,8000
4000s_10g,752.6,1.9,0.2,0.6,18.6,56000,16000
